;SPV_event_date;SPV_event_value;WON_event_date;WON_event_value
339;2009-05-10;-4,269375912332955;2011-11-03;-24,14113419354839
340;1998-06-08;-4,255768491073413;1997-03-26;-24,110079354838707
341;2017-07-28;-4,223942284976063;2006-01-20;-24,091292666666686
342;2009-05-04;-4,207529892041821;2021-09-21;-24,028844354838704
343;2006-04-07;-4,195417425017022;2021-10-14;-24,011719919354853
344;2008-07-11;-4,195130613794076;2002-09-22;-23,980235725806462
345;2005-02-05;-4,16575496956215;2001-01-26;-23,915987094086034
346;2007-09-22;-4,16516125111894;2005-03-27;-23,912419354838715
347;2003-09-14;-4,1640197356651285;2017-04-04;-23,85935233870969
348;2009-07-25;-4,163566987851989;2017-02-12;-23,818935483870966
349;2010-02-12;-4,152886751801924;2000-08-26;-23,81195870967741
350;2009-01-24;-4,125414796306385;1997-08-29;-23,746437822580646
351;2020-09-01;-4,11110723676354;2017-08-30;-23,733467338709666
352;1994-10-04;-4,106011134179958;2003-04-14;-23,73008395161289
353;2017-02-11;-4,09803065085246;1996-05-04;-23,647596209677427
354;2001-09-18;-4,093452233959869;2010-04-30;-23,561290806451613
355;1994-09-03;-4,09124769107407;2014-05-24;-23,506889435483895
356;2000-04-19;-4,089395119854029;2011-03-02;-23,491243881486664
357;1991-05-29;-4,058056280142211;2018-12-19;-23,448661266129044
358;1998-02-14;-4,048831268457468;2018-09-07;-23,435696774193556
359;2015-09-19;-4,0400231053814375;2019-09-01;-23,40298241935484
360;2015-09-02;-4,03830378687154;2007-11-06;-23,40088580645161
361;1992-03-23;-4,036548086766633;2015-09-29;-23,345028145161297
362;2021-08-23;-4,035254578309894;1995-05-28;-23,3208925
363;1999-06-08;-4,028028393773414;2016-07-29;-23,31194685483871
364;2002-01-28;-4,023379905488949;2017-07-12;-23,298474758064515
365;2009-07-18;-4,007143627615908;2007-04-28;-23,105033951612917
366;2007-10-01;-4,00708762540836;2011-11-09;-23,084455887096773
367;1994-03-15;-4,00591877609789;2021-04-22;-22,92304088709678
368;2014-07-10;-4,003644615666403;1992-01-17;-22,902618666666683
369;2013-02-27;-3,999847259925334;1991-04-30;-22,869790806451608
370;2018-03-18;-3,9953319487173995;2006-03-15;-22,86255806451613
371;2000-06-08;-3,9858995247673503;2014-07-01;-22,77600177419356
372;1992-09-10;-3,9788899511915816;1997-07-18;-22,769550322580656
373;2009-05-22;-3,97638284783604;2007-11-21;-22,75040209677418
374;2013-07-05;-3,9738404650174752;1993-06-12;-22,681594838709685
375;2002-05-27;-3,9726442935757498;2014-04-01;-22,63968991935484
376;2014-10-02;-3,961911279812618;1999-09-16;-22,60757266129033
377;1994-08-16;-3,9453111126679956;2021-03-26;-22,597479354838708
378;2012-10-20;-3,9428622674514178;2014-05-06;-22,563791774193543
379;1992-08-24;-3,9302163388893416;1996-10-24;-22,555571612903208
380;2004-06-07;-3,9160337519234147;1993-03-01;-22,533053569424975
381;1995-04-02;-3,9020194924839626;1998-06-02;-22,42923620967742
382;2008-08-09;-3,900299993173052;2020-05-10;-22,358813870967744
383;2020-02-17;-3,873142041560276;2021-06-06;-22,343105
384;2019-10-26;-3,8632496087969526;1994-07-16;-22,255907822580642
385;1996-03-30;-3,8520452749440985;1993-05-26;-22,229858951612922
386;1997-07-25;-3,8465008364299913;1998-04-04;-22,176552338709666
387;2020-01-29;-3,8447319983722976;1994-07-11;-22,1579575
388;1995-02-02;-3,834895774755332;2005-08-24;-22,143463145161284
389;2008-01-25;-3,82378156648186;2000-07-09;-22,140749274193535
390;1991-08-13;-3,815812258782448;1993-09-13;-22,111777419354844
391;1991-10-05;-3,8125489137663746;2005-05-04;-22,084120161290315
392;1993-05-22;-3,810745425172041;2001-07-31;-22,083177741935494
393;2003-08-30;-3,8097924535241767;2021-12-12;-22,078053870967743
394;2002-03-21;-3,803201211933697;2013-12-04;-22,007119112903233
395;1999-10-04;-3,7965076811960574;1999-09-10;-21,996829516129036
396;2002-12-30;-3,7946417502445287;2002-01-08;-21,98438433333333
397;2021-05-11;-3,7849074964231053;1996-06-10;-21,979063306451632
398;1993-10-15;-3,7801378713188716;2000-10-08;-21,969161209677438
399;1996-03-05;-3,7643365896865313;2010-07-05;-21,95300008064517
400;2002-06-09;-3,7563713426773493;2005-04-19;-21,939936370967736
401;2000-04-10;-3,7464778937664036;2000-08-03;-21,920312177419355
402;1999-10-10;-3,744900710602785;2010-02-01;-21,90334935483872
403;2010-03-16;-3,7176631213461526;2018-08-08;-21,853708629032266
404;1997-04-19;-3,7097505166470404;2008-06-08;-21,847551451612897
405;2015-09-07;-3,7090030606168156;2018-04-22;-21,84354088709677
406;2009-10-01;-3,6954581437473584;1991-05-13;-21,814997096774185
